Timestamp,Distance,Category
1920288,200.0,0
1920489,200.0,0
1920690,200.0,0
1920891,200.0,0
1921103,82.76,0
1921305,159.95,0
1921506,200.0,0
1921707,81.89,0
1921908,164.27,0
1922113,150.05,0
1922314,136.43,0
1922515,121.83,0
1922716,107.17,1
1922917,86.76,1
1923118,79.98,1
1923319,75.85,1
1923522,86.44,1
1923723,95.88,1
1923924,105.77,1
1924125,116.91,1
1924326,127.52,0
1924527,134.84,0
1924734,72.2,0
1924935,160.36,0
1925136,82.18,0
1925337,200.0,0
1925538,200.0,0
1925749,200.0,0
1925950,200.0,0
1926151,200.0,0
1926352,200.0,0
1926553,200.0,0
1926766,200.0,0
1926967,200.0,0
1927168,200.0,0
1927369,200.0,0
1927570,200.0,0
1927783,200.0,0
1927984,200.0,0
1928185,200.0,0
1928386,200.0,0
1928587,200.0,0
1928800,200.0,0
1929001,200.0,0
1929202,200.0,0
1929403,200.0,0
1929604,200.0,0
1929817,200.0,0
1930018,200.0,0
1930219,200.0,0
1930420,200.0,0
1930621,200.0,0
1930834,200.0,0
1931035,200.0,0
1931236,200.0,0
1931437,200.0,0
1931638,200.0,0
1931850,79.49,0
1932051,200.0,0
1932252,73.58,0
1932453,200.0,0
1932654,64.4,0
1932859,60.27,0
1933060,200.0,0
1933261,52.22,0
1933462,94.15,0
1933663,82.99,0
1933864,81.05,0
1934065,80.29,0
1934270,88.6,0
1934471,93.16,0
1934672,91.64,0
1934873,101.27,0
1935074,112.75,0
1935275,122.05,0
1935476,130.7,0
1935677,129.76,0
1935878,124.78,0
1936079,142.78,0
1936280,151.85,0
1936481,200.0,0
1936682,200.0,0
1936883,200.0,0
1937084,200.0,0
1937285,200.0,0
1937487,163.14,0
1937688,143.23,0
1937889,149.02,0
1938090,79.7,0
1938291,150.69,0
1938492,145.95,0
1938693,136.09,0
1938894,131.4,0
1939095,125.55,0
1939296,121.89,0
1939497,64.04,0
1939705,124.86,0
1939906,133.04,0
1940107,124.25,0
1940308,125.07,0
1940509,127.46,0
1940710,71.13,0
1940911,137.72,0
1941112,137.21,0
1941313,70.83,0
1941514,138.15,0
1941715,139.84,0
1941924,65.05,0
1942126,122.32,0
1942327,115.93,0
1942528,113.41,0
1942729,102.76,0
1942930,84.8,0
1943131,62.26,0
1943332,59.04,0
1943533,42.55,0
1943734,46.22,0
1943935,16.18,0
1944136,27.6,0
1944337,30.91,0
1944538,18.85,0
1944739,38.25,0
1944940,45.83,0
1945141,9.35,0
1945342,30.33,0
1945543,32.87,0
1945744,32.72,0
1945945,44.65,0
1946146,21.44,0
1946347,41.5,0
1946548,39.62,1
1946749,24.03,1
1946950,30.07,1
1947151,44.47,1
1947352,44.68,1
1947553,50.42,1
1947754,58.75,1
1947955,79.99,1
1948161,95.85,1
1948362,105.54,1
1948563,112.29,1
1948764,126.28,1
1948965,139.32,1
1949166,148.82,0
1949377,157.97,0
1949578,200.0,0
1949779,200.0,0
1949980,200.0,0
1950181,200.0,0
1950394,200.0,0
1950595,200.0,0
1950796,200.0,0
1950997,200.0,0
1951198,200.0,0
1951411,200.0,0
1951612,200.0,0
1951813,200.0,0
1952014,200.0,0
1952215,200.0,0
1952416,200.0,0
1952617,200.0,0
1952818,200.0,0
1953019,200.0,0
1953220,200.0,0
1953421,165.34,0
1953622,162.87,0
1953823,159.88,0
1954024,74.41,0
1954225,140.92,0
1954426,132.33,0
1954627,126.07,0
1954828,122.77,0
1955029,119.48,0
1955230,121.21,0
1955434,119.11,0
1955635,106.35,0
1955836,103.17,0
1956037,100.99,0
1956238,200.0,0
1956439,99.54,0
1956640,85.22,0
1956841,73.64,0
1957042,68.58,0
1957243,64.07,1
1957444,57.15,1
1957645,54.47,1
1957846,53.88,1
1958047,50.08,1
1958248,46.15,1
1958449,36.58,1
1958650,42.13,1
1958852,53.53,1
1959053,49.1,1
1959254,48.98,1
1959455,45.55,1
1959656,26.77,1
1959857,25.11,1
1960058,40.23,1
1960259,53.03,1
1960460,42.25,1
1960661,39.83,1
1960862,36.98,1
1961063,40.07,1
1961264,39.26,1
1961465,38.0,1
1961666,27.85,1
1961867,28.89,1
1962068,19.79,1
1962269,12.1,1
1962470,6.23,1
1962671,31.59,1
1962872,12.27,1
1963073,28.17,1
1963274,21.57,1
1963475,36.41,1
1963676,26.4,1
1963877,20.81,1
1964078,19.85,1
1964279,30.36,1
1964480,12.1,1
1964681,7.68,1
1964882,30.29,1
1965083,24.57,1
1965284,24.82,1
1965485,33.58,1
1965686,62.04,0
1965887,62.04,0
1966088,81.18,0
1966289,82.36,0
1966490,84.89,0
1966691,84.52,0
1966892,91.94,0
1967093,97.43,0
1967294,97.16,0
1967495,98.68,0
1967696,100.52,0
1967897,99.3,0
1968098,87.36,0
1968299,63.25,0
1968500,57.43,0
1968701,47.12,0
1968902,27.57,0
1969103,16.14,0
